length,time
100,0.0006260000009206124
200,0.0014468329973169602
300,0.0036936659962520935
400,0.004124166000110563
500,0.004134333001275081
600,0.005122083006426692
700,0.006089540998800658
800,0.007085417004418559
900,0.011759708002500702
1000,0.008877916996425483
1100,0.009870250003586989
1200,0.010929458003374748
1300,0.011938541996642016
1400,0.012652292003622279
1500,0.012833083004807122
1600,0.01400995899894042
1700,0.015016290999483317
1800,0.015875583994784392
1900,0.016991417003737297
2000,0.020802416998776607
2100,0.020505417000094894
2200,0.02215245800471166
2300,0.023436499999661464
2400,0.02471841700025834
2500,0.02490495899837697
2600,0.028490167002019007
2700,0.027636792001430877
2800,0.02935816699755378
2900,0.03157462499802932
3000,0.031239040996297263
3100,0.033508374996017665
3200,0.031897041997581255
3300,0.03220000000146683
3400,0.035921624999900814
3500,0.035475208998832386
3600,0.03944079199573025
3700,0.042586208997818176
3800,0.040644749999046326
3900,0.04387333399790805
4000,0.047312624999904074
4100,0.04258066700276686
4200,0.04171041600056924
4300,0.04543749999720603
4400,0.044302624999545515
4500,0.047950042004231364
4600,0.05103370799770346
4700,0.05473954199987929
4800,0.05040345800080104
4900,0.051349707995541394
5000,0.0537806249994901
5100,0.05263941600424005
5200,0.05532849999872269
5300,0.05440091600030428
5400,0.05787070900260005
5500,0.0564427919962327
5600,0.06076108300476335
5700,0.05860129199572839
5800,0.06145558300340781
5900,0.06093212500127265
6000,0.06451920800463995
6100,0.06529320799745619
6200,0.06399454200436594
6300,0.06729004199587507
6400,0.069546166996588
6500,0.07052795899653574
6600,0.07239674999436829
6700,0.07103270800143946
6800,0.0758891669975128
6900,0.0760383750020992
7000,0.07685145800496684
7100,0.07468295899889199
7200,0.08100216699676821
7300,0.07931145899783587
7400,0.07997141699888743
7500,0.0820272919954732
7600,0.08404895899730036
7700,0.08241854100197088
7800,0.08403208300296683
7900,0.08754462500655791
8000,0.08822150000196416
8100,0.09023520800110418
8200,0.08942324999952689
8300,0.09595612499833805
8400,0.0963283329983824
8500,0.09338104200287489
8600,0.09563608299504267
8700,0.09610750000138069
8800,0.09677529100008542
8900,0.09740920799958985
9000,0.09898066699679475
9100,0.10079279199999291
9200,0.10233050000533694
9300,0.10381520899682073
9400,0.10363525000138907
9500,0.1059739999982412
9600,0.10718741599703208
9700,0.10893837500043446
9800,0.11198408399650361
9900,0.1113462499997695
10000,0.11532066699874122
10100,0.11443816700193565
10200,0.11527216599642998
10300,0.11680433300352888
10400,0.11700558400480077
10500,0.11861166600283468
10600,0.12091983299615094
10700,0.1263834159981343
10800,0.12284862500382587
10900,0.12474162500438979
11000,0.12394074999610893
11100,0.12811033300386043
11200,0.13251929199759616
11300,0.13204912500077626
11400,0.1292306249961257
11500,0.13032604200270725
11600,0.13508045799972024
